,ACCOUNT_ID,TIMESTAMP,visited_week_index
0,83,2022-03-15,0
13,24,2022-03-15,0
18,31,2022-03-15,0
41,156,2022-03-15,0
47,15,2022-03-15,0
56,1447,2022-03-15,0
58,538,2022-03-15,0
61,351,2022-03-15,0
66,184,2022-03-15,0
86,624,2022-03-15,0
94,103,2022-03-15,0
100,1206,2022-03-15,0
109,828,2022-03-15,0
111,80,2022-03-15,0
122,44,2022-03-15,0
168,637,2022-03-15,0
170,34,2022-03-15,0
171,77,2022-03-15,0
175,273,2022-03-15,0
228,108,2022-03-15,0
240,1208,2022-03-15,0
242,42,2022-03-15,0
247,246,2022-03-15,0
251,54,2022-03-15,0
253,160,2022-03-15,0
260,242,2022-03-15,0
283,394,2022-03-15,0
285,528,2022-03-15,0
293,968,2022-03-15,0
296,217,2022-03-15,0
304,1048,2022-03-15,0
320,68,2022-03-15,0
340,1045,2022-03-15,0
346,75,2022-03-15,0
399,940,2022-03-15,0
400,56,2022-03-15,0
405,551,2022-03-15,0
423,53,2022-03-15,0
424,575,2022-03-15,0
438,1355,2022-03-16,0
450,125,2022-03-16,0
458,1499,2022-03-16,0
463,993,2022-03-16,0
468,12,2022-03-16,0
482,1506,2022-03-16,0
485,828,2022-03-16,0
493,856,2022-03-16,0
499,629,2022-03-16,0
501,80,2022-03-16,0
510,184,2022-03-16,0
518,700,2022-03-16,0
521,93,2022-03-16,0
526,384,2022-03-16,0
530,5,2022-03-16,0
543,1378,2022-03-16,0
548,1516,2022-03-16,0
554,17,2022-03-16,0
558,624,2022-03-16,0
559,581,2022-03-16,0
560,34,2022-03-16,0
572,956,2022-03-16,0
584,7,2022-03-16,0
609,823,2022-03-16,0
620,198,2022-03-16,0
625,42,2022-03-16,0
636,108,2022-03-16,0
643,101,2022-03-16,0
660,168,2022-03-16,0
680,121,2022-03-16,0
686,253,2022-03-16,0
688,1322,2022-03-16,0
697,710,2022-03-16,0
701,31,2022-03-16,0
717,458,2022-03-16,0
729,53,2022-03-16,0
756,68,2022-03-16,0
764,44,2022-03-16,0
903,629,2022-03-17,0
910,388,2022-03-17,0
911,11,2022-03-17,0
918,1272,2022-03-17,0
923,168,2022-03-17,0
929,10,2022-03-17,0
931,593,2022-03-17,0
932,12,2022-03-17,0
945,1454,2022-03-17,0
965,7,2022-03-17,0
975,125,2022-03-17,0
980,209,2022-03-17,0
983,80,2022-03-17,0
998,1409,2022-03-17,0
1013,248,2022-03-17,0
1023,212,2022-03-17,0
1064,108,2022-03-17,0
1065,184,2022-03-17,0
1066,162,2022-03-17,0
1070,221,2022-03-17,0
1085,528,2022-03-17,0
1087,823,2022-03-17,0
1114,914,2022-03-17,0
1115,780,2022-03-17,0
1120,216,2022-03-17,0
1126,307,2022-03-17,0
1142,20,2022-03-17,0
1149,34,2022-03-17,0
1157,1281,2022-03-17,0
1160,198,2022-03-17,0
1171,115,2022-03-17,0
1173,106,2022-03-17,0
1177,234,2022-03-17,0
1179,231,2022-03-17,0
1196,127,2022-03-17,0
1204,54,2022-03-17,0
1217,50,2022-03-17,0
1236,420,2022-03-17,0
1247,75,2022-03-17,0
1266,496,2022-03-17,0
1280,223,2022-03-17,0
1345,269,2022-03-17,0
1349,1033,2022-03-17,0
1352,24,2022-03-18,0
1354,12,2022-03-18,0
1360,7,2022-03-18,0
1361,125,2022-03-18,0
1391,248,2022-03-18,0
1396,68,2022-03-18,0
1410,960,2022-03-18,0
1415,93,2022-03-18,0
1426,796,2022-03-18,0
1430,53,2022-03-18,0
1439,342,2022-03-18,0
1444,20,2022-03-18,0
1475,397,2022-03-18,0
1498,528,2022-03-18,0
1519,88,2022-03-18,0
1523,167,2022-03-18,0
1538,83,2022-03-18,0
1547,50,2022-03-18,0
1558,108,2022-03-18,0
1569,42,2022-03-18,0
1594,57,2022-03-18,0
1596,269,2022-03-18,0
1631,275,2022-03-19,0
1638,908,2022-03-19,0
1660,843,2022-03-19,0
1671,741,2022-03-19,0
1676,580,2022-03-20,0
1678,1195,2022-03-20,0
1679,732,2022-03-20,0
1686,273,2022-03-20,0
1732,168,2022-03-20,0
1781,1182,2022-03-20,0
1794,607,2022-03-21,0
1795,7,2022-03-21,0
1796,53,2022-03-21,0
1801,11,2022-03-21,0
1816,652,2022-03-21,0
1818,184,2022-03-21,0
1823,192,2022-03-21,0
1829,665,2022-03-21,0
1831,80,2022-03-21,0
1837,483,2022-03-21,0
1841,562,2022-03-21,0
1842,15,2022-03-21,0
1859,44,2022-03-21,0
1861,568,2022-03-21,0
1870,195,2022-03-21,0
1876,93,2022-03-21,0
1892,474,2022-03-21,0
1895,624,2022-03-21,0
1934,388,2022-03-21,0
1939,34,2022-03-21,0
1950,130,2022-03-21,0
1966,2,2022-03-21,0
1972,121,2022-03-21,0
2012,1403,2022-03-21,0
2013,25,2022-03-21,0
2024,51,2022-03-21,0
2029,127,2022-03-21,0
2032,1404,2022-03-21,0
2045,115,2022-03-21,0
2052,502,2022-03-21,0
2062,106,2022-03-21,0
2082,1256,2022-03-21,0
2090,65,2022-03-21,0
2118,854,2022-03-21,0
2122,42,2022-03-21,0
2134,458,2022-03-21,0
2138,753,2022-03-21,0
2162,108,2022-03-21,0
2188,743,2022-03-22,1
2202,1150,2022-03-22,1
2203,24,2022-03-22,1
2206,614,2022-03-22,1
2208,480,2022-03-22,1
2217,200,2022-03-22,1
2219,829,2022-03-22,1
2221,51,2022-03-22,1
2222,872,2022-03-22,1
2223,110,2022-03-22,1
2227,609,2022-03-22,1
2231,605,2022-03-22,1
2244,80,2022-03-22,1
2249,89,2022-03-22,1
2258,5,2022-03-22,1
2267,85,2022-03-22,1
2288,388,2022-03-22,1
2290,194,2022-03-22,1
2298,1255,2022-03-22,1
2299,780,2022-03-22,1
2341,79,2022-03-22,1
2352,198,2022-03-22,1
2353,736,2022-03-22,1
2360,285,2022-03-22,1
2363,184,2022-03-22,1
2368,101,2022-03-22,1
2375,34,2022-03-22,1
2380,77,2022-03-22,1
2394,42,2022-03-22,1
2401,2,2022-03-22,1
2409,817,2022-03-22,1
2412,209,2022-03-22,1
2421,1113,2022-03-22,1
2427,57,2022-03-22,1
2455,1470,2022-03-22,1
2456,1135,2022-03-22,1
2471,618,2022-03-22,1
2474,15,2022-03-22,1
2477,25,2022-03-22,1
2499,253,2022-03-22,1
2505,108,2022-03-22,1
2524,144,2022-03-22,1
2542,68,2022-03-22,1
2569,423,2022-03-22,1
2588,76,2022-03-22,1
2602,766,2022-03-22,1
2615,215,2022-03-22,1
2627,109,2022-03-22,1
2638,20,2022-03-22,1
2649,31,2022-03-22,1
2680,127,2022-03-22,1
2697,121,2022-03-22,1
2719,206,2022-03-22,1
2725,50,2022-03-22,1
